VendorName,VendorNumber,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
BROWN-FORMAN CORP,1128,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.6,5101919.51,672819.31,142049.0,260999.19999999998,68601.68,1290667.9099999997,25.3,0.9791,1.339,26.27,Large,79624.37
MARTIGNETTI COMPANIES,4425,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.22,4819073.49,561512.37,160247.0,294438.66,144929.24,1015032.27,21.06,0.9769,1.267,23.19,Large,87913.29000000001
PERNOD RICARD USA,17035,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.68,4538120.6,461140.14999999997,187140.0,343854.07,123780.22,1119816.9199999995,24.68,0.9986,1.328,18.240000000000002,Large,4870.08
DIAGEO NORTH AMERICA INC,3960,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94,4475972.88,420050.00999999995,200412.0,368242.8,257032.07,1214774.94,27.14,0.9937,1.372,16.169999999999998,Large,20535.9
DIAGEO NORTH AMERICA INC,3960,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.01,4223107.62,545778.28,135838.0,249587.83,257032.07,1199901.6100000003,28.41,0.9836,1.397,21.889999999999997,Large,49712.19
BACARDI USA INC,480,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.93,3383912.4,446932.08999999997,141860.0,111699.19,89286.27,917276.4699999997,27.11,1.022,1.372,17.77,Large,-54216.27
PERNOD RICARD USA,17035,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.08,2773367.73,614529.3400000001,69627.0,127931.67,123780.22,596082.6499999999,21.49,0.9837,1.274,30.76,Large,35558.560000000005
DIAGEO NORTH AMERICA INC,3960,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.84,2592041.35,292586.29,148265.0,272422.6,257032.07,503706.51,19.43,0.9187,1.241,12.940000000000001,Large,169785.74
DIAGEO NORTH AMERICA INC,3960,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.55,2640491.19,503661.01999999996,90481.0,166244.44,257032.07,736751.6399999999,27.9,0.9853,1.387,20.73,Large,28068.420000000002
JIM BEAM BRANDS COMPANY,12546,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.14,2435393.39,426902.77999999997,107061.0,196707.35,123880.97,661966.2500000002,27.18,0.9834,1.373,16.29,Large,29403.449999999997
PERNOD RICARD USA,17035,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1,2148965.53,436011.63999999996,91247.0,71840.56999999999,123780.22,618539.4299999997,28.78,0.979,1.404,16.42,Large,32150.360000000004
DIAGEO NORTH AMERICA INC,3960,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.96,1840615.67,442856.19999999995,61433.0,112875.19,257032.07,342453.70999999996,18.61,0.9177,1.229,22.38,Large,123291.42
BACARDI USA INC,480,2663,Dewars White Label,21.42,29.99,1750.0,69001,1478001.42,2189368.78,495957.83,70122.0,128839.08,89286.27,711367.3599999999,32.49,1.0162,1.481,21.419999999999998,Large,-24011.820000000003
MAJESTIC FINE WINES,10000,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668,1460072.3599999999,2326007.78,189608.96,214238.0,24083.77,17587.59,865935.4199999999,37.23,0.9934,1.593,6.77,Large,9681.099999999999
ULTRA BEVERAGE COMPANY LLP,9165,3650,Patron Silver Tequila,33.81,48.99,750.0,42951,1452173.31,2009508.61,662320.04,41639.0,32783.09,68054.7,557335.3,27.73,0.9695,1.384,33.81,Large,44358.72
